condition,runs,failures,valids,baseline_valid,baseline_invalid,gate_valid,gate_blocked,gate_invalid,baseline_false_negatives,decision_gate_detections,baseline_false_negative_rate,decision_gate_detection_rate,valid_retention_rate,artifact_bound_verification_failure_rate,digest_mismatch_detection_rate
valid,100,0,100,100,0,100,0,0,0,0,0.000,0.000,1.000,0.000,0.000
noisy_but_valid,100,0,100,0,100,100,0,0,0,0,0.000,0.000,1.000,0.000,0.000
missing_audit_evidence,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,0.000,0.000
missing_ai_discovery_output,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,0.000,0.000
missing_approval_record,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,0.000,0.000
failed_compliance_evaluation,100,100,0,100,0,0,0,100,100,100,1.000,1.000,0.000,0.000,0.000
inconsistent_run_context,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,1.000,1.000
unavailable_audit_run,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,1.000,1.000
partial_evidence,100,100,0,100,0,0,100,0,100,100,1.000,1.000,0.000,1.000,1.000
OVERALL,900,700,200,,,,,,,,1.000,1.000,1.000,0.429,1.000
