repo_name,repo_url,domain,model_validation_present,ci_present,deployment_or_promotion_present,audit_evidence_trace_present,ai_discovery_or_inventory_present,explicit_approval_gate_present,decision_record_present,run_to_decision_traceability_present,has_model_centric_validation,has_decision_level_auditability,auditability_gap_present
pytorch/pytorch,https://github.com/pytorch/pytorch,training_framework,True,True,True,False,False,False,False,False,True,False,True
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,training_framework,True,True,True,False,False,False,False,False,True,False,True
keras-team/keras,https://github.com/keras-team/keras,training_framework,True,True,True,False,False,False,False,False,True,False,True
huggingface/transformers,https://github.com/huggingface/transformers,model_library,True,True,True,False,True,False,False,False,True,False,True
huggingface/datasets,https://github.com/huggingface/datasets,data_tools,True,True,True,False,False,False,False,False,True,False,True
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,classical_ml,True,True,True,False,False,False,False,False,True,False,True
jax-ml/jax,https://github.com/jax-ml/jax,training_framework,True,True,True,False,False,False,False,False,True,False,True
pytorch/torchvision,https://github.com/pytorch/vision,model_library,True,True,True,False,False,False,False,False,True,False,True
dmlc/xgboost,https://github.com/dmlc/xgboost,classical_ml,True,True,True,False,False,False,False,False,True,False,True
catboost/catboost,https://github.com/catboost/catboost,classical_ml,True,True,True,False,False,False,False,False,True,False,True
lightning-ai/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,training_framework,True,True,True,False,False,False,False,False,True,False,True
microsoft/LightGBM,https://github.com/microsoft/LightGBM,classical_ml,True,True,True,False,False,False,False,False,True,False,True
onnx/onnx,https://github.com/onnx/onnx,interoperability,True,True,True,False,False,False,False,False,True,False,True
apache/tvm,https://github.com/apache/tvm,compiler_runtime,True,True,True,False,False,False,False,False,True,False,True
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,applied_cv,True,True,True,False,False,False,False,False,True,False,True
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,applied_nlp,True,True,True,False,False,False,False,False,True,False,True
allenai/allennlp,https://github.com/allenai/allennlp,applied_nlp,True,True,True,False,False,False,False,False,True,False,True
tensorflow/models,https://github.com/tensorflow/models,model_library,True,True,True,False,False,False,False,False,True,False,True
huggingface/evaluate,https://github.com/huggingface/evaluate,evaluation_tools,True,True,True,False,False,False,False,False,True,False,True
pytorch/audio,https://github.com/pytorch/audio,model_library,True,True,True,False,False,False,False,False,True,False,True
ray-project/ray,https://github.com/ray-project/ray,distributed_training_or_serving,True,True,True,False,False,False,False,False,True,False,True
apache/airflow,https://github.com/apache/airflow,workflow_orchestration,True,True,True,False,False,False,False,False,True,False,True
mlflow/mlflow,https://github.com/mlflow/mlflow,mlops_tracking,True,True,True,False,True,False,False,False,True,False,True
kubeflow/pipelines,https://github.com/kubeflow/pipelines,ml_workflow,True,True,True,False,False,False,False,False,True,False,True
dvc-org/dvc,https://github.com/iterative/dvc,data_version_control,True,True,True,False,False,False,False,False,True,False,True
wandb/wandb,https://github.com/wandb/wandb,experiment_tracking,True,True,True,False,False,False,False,False,True,False,True
optuna/optuna,https://github.com/optuna/optuna,hyperparameter_search,True,True,True,False,False,False,False,False,True,False,True
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,applied_automl,True,True,True,False,False,False,False,False,True,False,True
pytorch/text,https://github.com/pytorch/text,data_tools,True,True,True,False,False,False,False,False,True,False,True
keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,hyperparameter_search,True,True,True,False,False,False,False,False,True,False,True
